Poster Session B 11:30-1:00pm,,,,,,
Improvements in Healthcare and Healthcare Education,,,,,,
Abstract number,Presenter first name,Presenter Last Name,Title,Abstract,"Significance
",
35,Tanjila,Nawshin,"Hypertension Management In Primary Care: Reach, Adoption, And Demographic Distribution Of Remote Patient Monitoring","Introduction
Remote patient monitoring (RPM) is a telehealth technology to monitor and transmit health data using electronic devices to facilitate management of chronic conditions such as hypertension. Information specific to patients’ sociodemographic characteristics related to RPM in primary care setting is scarce. The study objective was to report reach and adoption of RPM for managing hypertension in the primary care setting of University of Alabama at Birmingham (UAB) health system.
Methods
It was a cross sectional study for the period between June 2020 and May 2022. Data from UAB Informatics for Integrating Biology and the Bedside (i2b2) and Health System Information Services (HSIS) were merged to estimate reach and adoption of RPM. we reported descriptive statistics and likelihood of RPM enrollment using log-binomial model.
Results/Discussion
Out of 2339 patients, 331 (14.15%) enrolled in RPM, and 35 (59.32%) PCPs made RPM enrollments. RPM enrolled patients were on average, aged 64.82 (±14.17) years, with 61.93% female, 61.33% Black and 96.07% from metropolitan residence, whereas average age for UC was 59.68 (±13.36) years, with 50.30% female, 58.12% Black and 92.58% from metropolitan residence. Crude estimate from log binomial model indicated that patients living in metropolitan area were more likely (RR: 1.92, p=0.02) to enroll in RPM. In the adjusted model, age (RR 1.03, p&lt;0.001) and sex (RR (male): 0.69, p&lt;0.001) were significant predictors for RPM enrollment.
Significance
This study highlights the importance of qualitative exploration of barriers and facilitators for RPM reach and adoption for managing hypertension in the primary care setting.",This study explored the sociodemographic patient factors related to RPM enrollment for hypertension management. Identifying sociodemographic predictors of RPM enrollment can play crucial role in healthcare policy making to ensure equity in hypertension management using telehealth technology.   ,
36,Bobby,Jones,Developing a STEM Resilience Curriculum Using High Impact Teaching Practices,"Undergraduate students (UGs), particularly Science, Technology, Engineering, and Mathematics (STEM) and pre-healthcare UGs, are under high levels of stress. Further, stress among those from disadvantage backgrounds, such as minority students and those from disadvantaged socioeconomic backgrounds also have a compounded feeling of stress as their counterparts, especially at Predominantly White Institutions (PWIs). Furthermore, burnout among STEM and healthcare professionals is at an all-time high, causing decreased retention in several fields. There are increased efforts on combating this burnout and increasing support at the professional level, but this may be too late. Therefore, it is essential that training in resilience and stress management is provided to pre-health professionals and STEM students before they enter the workforce. We propose a curriculum that instructs our undergraduate health professional students on understanding the connection between biological and psychological on stress while simultaneously identifying their stressors and learning ways to manage their own stress that is rooted in self-efficacy theory. To accomplish this, we have designed a curriculum that contains two courses, an introductory course focused on The Effects of Physiological and Psychological Stress and stress management and a Course Based Undergraduate Research Experience (CURE) focused on analyzing previously collected UG student stress data. This curriculum will help students to increase their resilience and increase retention for STEM and healthcare professionals.",To improve self-efficacy in STEM and pre-healthcare UGs allowing them to maintain over mental well-being and prevent burnout. ,
37,J. Edward ,Murrell,Bringing Cancer Clinical Trials to the Medically Underserved,"INTRODUCTION: This study investigates referral mechanisms from community-based oncology care (Cooper Green) to O’Neal Comprehensive Cancer Center (OCCC), assesses minority groups’ clinical trial knowledge, and explores their perceptions and attitudes toward trials. 

METHODS A sequential explanatory mixed methods approach was employed to evaluate patient knowledge, perspectives, and factors influencing the referral process for cancer clinical trials. The Clinical Trial Knowledge survey was administered to 97 Cooper Green patients. Demographics and survey responses were analyzed descriptively, and multivariate analysis was conducted using STATA 18. Qualitative data from seven semi-structured interviews were analyzed using NVivo, with themes identified through deductive and inductive methods.

RESULTS: Five hundred-two mailers were sent, yielding a 9.56% response rate. The 97 participants had an average age of 54 and were predominantly single, Black, or African American. 61.86% of respondents agreed that patient participation is crucial for generating new and effective treatments, and 59.79% preferred receiving extensive written information before consenting to participate - however, 32.99% perceived clinical trial participation as frightening. Four main themes related to clinical trials were identified. Participants varied in their engagement with their health. Although many had limited knowledge of clinical trials, they were strongly willing to participate. The decision-making process was complex, influenced by awareness and attitudes towards clinical trials.

DISCUSSION: Findings emphasize the critical role of awareness and education in addressing underrepresentation in clinical trials. Tailored, culturally congruent interventions are essential to bridge the knowledge gap and enhance participation rates among racial and ethnic minorities.
","This study highlights the challenges and opportunities in increasing clinical trial enrollment among racial and ethnic minority patients, underscoring the need for targeted interventions to address underrepresentation and enhance participation rates.
   
The findings underscore the importance of raising awareness and providing culturally sensitive education to overcome barriers to clinical trial participation, ultimately contributing to more inclusive and effective cancer research and treatment strategies.",
38,Samuel,Boadu Jr.,Area Bias and the Adoption of Inclusion Strategy in U.S. Hospitals,"Introduction: The healthcare sector plays a pivotal role in promoting the well-being of diverse populations. However, persistent disparities highlight the urgent need for comprehensive strategy initiatives that prioritize Diversity, Equity, and Inclusion (DEI) and address implicit bias within the healthcare system. Inclusion strategy is defined by the adoption of DEI policies and procedures to foster an inclusive environment for patients and staff. Area bias is a measure of the average implicit bias of the population in which the hospital serves. Implicit bias can impede the work of diversity management strategy initiative adoption in our healthcare system given the subconscious prejudices that healthcare professionals may unknowingly hold. 
Methods: This cross-sectional study analyzes a nationally representative sample of 78 hospitals and healthcare organizations, examining community bias scores based on geographic FIPS codes. The dataset was compounded to include the presence of explicit DEI priorities of those same organizations, considering variables such as gender and ethnic diversity in leadership, explicit diversity language in mission/vision/values, and the presence of diversity statements. 
Results: Findings will indicate the associations between diversity hospital strategy management and area biases. 
Implications: Results of this study have important implications with regard to racism in healthcare and health equity. The study emphasizes the potential influence of diversity management strategy not only with regard to healthcare delivery to patients but also recruitment of professionals. This study also highlights a subset of organizations that should prioritize DEI strategy given pervasive bias that exists outside the walls of the institution. If not, a psychologically safe and inclusive organizational culture could remain stagnant and its potential influence on health equity could be detrimental.
Conclusion: Diversity, equity, and inclusion (DEI) have become central to corporate practices, especially in the healthcare industry. Organizations in communities with high bias scores who actively communicate their commitment to DEI through explicit language and diverse leadership may be better positioned to best care for diverse communities and to attract the best talent.
Keywords: Implicit bias, psychological safety, DEI, hospitals, strategy
",Organizations in communities with high bias scores who actively communicate their commitment to DEI through explicit language and diverse leadership may be better positioned to best care for diverse communities and to attract the best talent.,
39,Amani,Assiry,Perceptions of Healthcare Students toward Pulmonary Rehabilitation Programs for COPD Patients ,"Introduction: Assessing students' perceptions is crucial to improve COPD management and determine the need for educational courses regarding pulmonary rehabilitation (PR) programs. PR is an effective non-pharmacological intervention for COPD patients. It aims to improve lung function, exercise capacity, and quality of life. The purpose of this study was to assess the perceptions of healthcare students regarding PR programs. Methods: Students were enrolled at a large urban university in the southeastern United States. The data used were collected from three different healthcare programs at the university. Data were collected through a self-administered survey consisting of 38 questions on a 5-point Likert-type scale. The survey evaluated student perceptions and was examined for face validity by respiratory therapy educators at the university. The data were analyzed using the Statistical Package for the Social Sciences. Results: A total of 178 students completed the survey, including respiratory therapy (43.3%), physical therapy (39.9%), and occupational therapy (16.9%). The study findings revealed there were differences in the perceptions of students regarding PR. There was a significant difference in positive perceptions between students who had experience attending a PR program and those who did not (p = 0.043). There were no differences found among students in their familiarity with PR programs (p = 0.060). Finally, there were no differences in the perception of students regarding the factors that influence COPD patients' decisions not to participate in the PR programs. Significance: This study provides preliminary information for developing a PR education course for the curriculum of healthcare programs.",This study provides preliminary information for developing a PR education course for the curriculum of healthcare programs.,
40,Ali,Alammari,Comparative Analysis of Protocolized versus Non-protocolized Weaning from Mechanical Ventilation in ARDS Patients Using Electrical Impedance Tomography,"Background: Acute respiratory distress syndrome (ARDS) is characterized by an acute, diffuse, inflammatory lung injury, leading to increased alveolar capillary permeability, and loss of aerated lung tissue. ARDS is life-threatening and effects approximately 200,000 patients annually in the United States, resulting in nearly 75,000 deaths, more than breast cancer or HIV infection. Electrical Impedance Tomography (EIT) is a non-invasive imaging technique with the potential for monitoring and evaluating lung function in critically ill patients, including those diagnosed with ARDS. The purpose of this study is to perform a scoping review on the use of EIT in adult patients undergoing mechanical ventilation. Methods: This review will be conducted following the methodological framework of Arksey and O'Malley. The data will be extracted from  MEDLINE, EMBASE, CINAHL, Cochrane, and the Web of Science. The inclusion criteria will screen randomized controlled trials (RCTs) and will encompass articles that employ any type of EIT. We will only consider articles that are written exclusively in English. [Include more information regarding your inclusion criteria e.g., dates of publication, population of interest, etc.] Results: We will compare protocolized versus non-protocolized weaning of patients undergoing mechanical ventilation using EIT in terms of healthcare resource utilization, including ventilator days, ICU length of stay, and hospital costs. Significance: This review will characterize the utilization of EIT in optimizing weaning protocols and enhancing patient outcomes during the process of weaning from mechanical ventilation in ARDS patients.","•This review will provide valuable insight into the efficacy of various weaning strategies and offer a deeper understanding of the physiological mechanisms and regional ventilation patterns associated with successful weaning. 
•With greater understanding, patient care in critical care environments will be improved with development of individualized and evidence-based weaning methods.
",
41,Ali,Alammari,Comparative Analysis of Protocolized versus Non-protocolized Weaning from Mechanical Ventilation in ARDS Patients Using Electrical Impedance Tomography,"Background: Acute respiratory distress syndrome (ARDS) is characterized by an acute, diffuse, inflammatory lung injury, leading to increased alveolar capillary permeability, and loss of aerated lung tissue. ARDS is life-threatening and effects approximately 200,000 patients annually in the United States, resulting in nearly 75,000 deaths, more than breast cancer or HIV infection. Electrical Impedance Tomography (EIT) is a non-invasive imaging technique with the potential for monitoring and evaluating lung function in critically ill patients, including those diagnosed with ARDS. The purpose of this study is to perform a scoping review on the use of EIT in adult patients undergoing mechanical ventilation. Methods: This review will be conducted following the methodological framework of Arksey and O'Malley. The data will be extracted from  MEDLINE, EMBASE, CINAHL, Cochrane, and the Web of Science. The inclusion criteria will screen randomized controlled trials (RCTs) and will encompass articles that employ any type of EIT. We will only consider articles that are written exclusively in English. [Include more information regarding your inclusion criteria e.g., dates of publication, population of interest, etc.] Results: We will compare protocolized versus non-protocolized weaning of patients undergoing mechanical ventilation using EIT in terms of healthcare resource utilization, including ventilator days, ICU length of stay, and hospital costs. Significance: This review will characterize the utilization of EIT in optimizing weaning protocols and enhancing patient outcomes during the process of weaning from mechanical ventilation in ARDS patients.","•This review will provide valuable insight into the efficacy of various weaning strategies and offer a deeper understanding of the physiological mechanisms and regional ventilation patterns associated with successful weaning. 
•With greater understanding, patient care in critical care environments will be improved with development of individualized and evidence-based weaning methods.
",
42,Mahdiyeh,zare,Implementation of AI in Healthcare Supply Chain Management,"Introduction: 
In response to the complicated challenges faced by healthcare supply chain management (SCM), and an increasing demand in utilization of SCM in healthcare domain in recent years, the adoption of advanced technologies involving Artificial Intelligence (AI) has increased. AI based tools and technologies that offer data-driven insights and predictive analytics hold promise in revolutionizing healthcare supply chain operations by (1) optimizing inventory control, (2) enhancing demand forecasting, and (3) streamlining distribution logistics. The objective of this 
systematic literature review is to provide a comprehensive analysis of the potential contextual factors influencing AI adoption in healthcare SCM. We utilize the RE-AIM framework [1] for SCM and operations management for this analysis. The findings of our study highlight trends, challenges & opportunities, and contribute to a clear understanding of how AI can enhance healthcare logistics and utilization of SCM in healthcare. This review also offers healthcare SCM professionals who are aiming to leverage AI for improved efficiency and accuracy with practical insights and provide future research directions. Ultimately, this paper advocates for the strategic adoption of AI in healthcare SCM to address thus identified dynamic challenges and complexities inherent in the delivery of healthcare services, 
contributing to enhanced operational efficiency and patient care outcomes for value-based care.
Methods: 
We conduct a literature search in PubMed and Scopus databases using combinations of keywords in three sets: (1) Technology relating to ""machine learning”, “transfer learning"" ,""deep learning"", ""support vector machine"", 
(2) Contextual action domain – “implementation” or “implementation science”, and lastly, (3) Health domain-“healthcare-operation”, “healthcare management”, “healthcare supply chain” . We utilize the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) framework [2]. The search has initially resulted in a total of 2280 publications. In next steps, we will screen these publications using inclusion and exclusion criteria. The inclusion criteria contain studies that focus on AI applications in healthcare supply chain management, published in English. We use the RE-AIM framework that facilitates a systematic analysis of each publication across dimensions of Reach, Effectiveness, Adoption, Implementation, and Maintenance. It allows categorization of included 
publications on critical dimensions and helps gain insights into the practical implications of AI interventions in healthcare supply chains.
Results: 
The results of this review reveal an understanding of the current landscape of Artificial Intelligence (AI) implementation in healthcare supply chain management (SCM). Key findings from analysis of included publications highlight the successes, challenges, and critical success factors influencing the adoption of AI in healthcare domain.The literature review publications highlight how AI interventions positively impact healthcare supply chain outcomes through optimizing inventory control, demand forecasting, and distribution logistics, as well as, providing tangible improvements in transparency and efficiency. Factors such as technological sophistication, data quality, government support, and interoperability which are derived from the analyzed publications are identified as critical success factors. Possible future research should explore the integration of emerging technologies alongside AI. Investigating how blockchain, the Internet of Things (IoT), or other advanced analytics methods complement AI in healthcare SCM will contribute to a more holistic understanding. Concerning to the implementation science aspect, examining successful case studies and strategies for overcoming challenges in AI adoption can provide practical guidance for healthcare supply chain managers.
","The systematic literature review highlights how AI can be applied in healthcare supply chain management. The successes outlined in the literature, coupled with identified challenges and critical success factors, create a roadmap for organizations looking to leverage AI for improved efficiency and accuracy in their supply chain operations. The findings contribute significantly to the existing body of knowledge and call for continued research and practical adoption of AI in healthcare SCM. As this review paper navigates the complexities of healthcare 
logistics, the integration of AI stands as a promising path for enhancing overall supply chain performance and, ultimately, improving patient outcomes for value-based care. ",
43,Petra ,Sprik,Predictors of Belonging among Clinical Support Staff: A Mixed Methods Study,"
Introduction: Amidst ongoing human capital challenges in healthcare, promoting belonging is one way to improve the psychological wellbeing and retention of healthcare workers.  The purpose of this study is to examine predictors of belonging among clinical support staff (CSS).  

Methods: In 2022, 985 CSS completed an engagement survey at an academic medical center in the Southeastern U.S. We used a concurrent mixed methods approach. Logistic regression examined the association of job demands and resources with belonging.  The qualitative strand employed emergent coding of an open-ended response describing organizational culture.

Results/Discussion: Job satisfaction, psychological safety, perceived organizational support, recognition, respect, and workload were statistically significant predictors of belonging.  Qualitative analysis added nuance to why recognition and respect impacted belonging, and contradicted findings on workload. Emergent themes supported good working relationships, diversity, morale, quality, staffing, and professional role as additional contributors. 
Overall, findings support five previously-suggested strategies for enhancing belonging (1) valuing employees’ contributions (2) promoting connection with coworkers (3) supporting workers in daily and long-term work goals, (4) having organizational values and purposes that inspire worker pride, and (5) job satisfaction.  Qualitative findings suggest ways that organizations may address these for CSS, such as changing the nurse/physician-centric culture and better integrating CSS into interdisciplinary work.

Significance: Following nurses, CSS is the second largest group of healthcare workers in the U.S.. Retaining these workers is critical for healthcare organizations; yet predictors of belonging among CSS has not been studied. Findings can inform a targeted approach to improve belonging and retention of CSS.  
","- To our knowledge, this is the first study of predictors of belonging among clinical support staff, the second largest group of healthcare workers in the United States (second only to nurses).
- The mixed-methods approach utilized in this study allows us to identify quantitative predictors of belonging, while also gaining a deeper understanding of the lived experience of organizational culture that impacts belonging among clinical support staff.  Together, these findings can inform a targeted organizational strategy.  
",
44,Regan,Gaskin,Emergency Department Utilization Amongst Patients Considered High Risk for Lung Cancer at UAB,"Introduction:

In the United States, despite substantial healthcare expenditures, outcomes are disproportionately lower other high-income countries. A contributing factor is the misuse of emergency departments (ED), with respiratory symptoms being a frequent cause of such visits. Lung cancer patients, particularly minorities and low-income individuals, exhibit higher ED utilization, leading to poorer outcomes. Disparities in healthcare, notably related to race and insurance, contribute to these many negative health outcomes. The aim of this study is to delineate the sociodemographic traits of individuals at high risk for lung cancer and their utilization of the ED.

Methods:

A retrospective medical chart review at the University of Alabama at Birmingham Hospital (UAB) between 2015 and 2020, funded by NIH U54, focused on high-risk lung cancer patients undergoing low-dose CT screening. Participants aged 55-80, without recent lung cancer diagnostic codes, and with a smoking history were included.

Results:

Regression analysis of 1,129 observations revealed a significant correlation between race and ED visits for lung cancer patients (P=0.001). Compared to the white population, Black patients were four times more likely to visit the ED. Increasing age correlated with fewer ED visits, while being in a relationship and residing in a rural county were associated with decreased and increased ED visits, respectively.

Conclusion:

The study, limited to UAB's high-risk lung cancer patients, highlights the urgency of addressing healthcare disparities. While acknowledging data limitations, the methodology's applicability to different cancer diagnoses or chronic conditions suggests the potential for educational interventions to reduce unnecessary ED visits and enhance outcomes.
","Impact: The study reveals a significant correlation between race and emergency department (ED) visits for lung cancer patients, particularly highlighting that Black patients are four times more likely than their white counterparts to seek ED care. 

Significance: Despite limitations, the research methodology can be extended to patients with various cancer diagnoses or chronic conditions, offering a background for interventions to reduce unnecessary ED visits and improve overall healthcare outcomes, emphasizing the broader relevance of addressing healthcare disparities.",
